,Date Local,County Code,State Code,Site Num,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
3857,2000-11-01,29,6.0,14.0,25.608696,40.0,18.0,38.0,0.011708,0.031,9.0,26.0,2.3602485000000004,4.8,6.5,9.0,0.7566120000000001,1.65,3.5,15.0
3871,2000-11-02,29,6.0,14.0,29.608696,48.0,20.0,45.0,0.009667,0.026,10.0,22.0,2.5975155,3.5,6.5,6.0,0.719565,1.6,21.5,13.0
3885,2000-11-03,29,6.0,14.0,32.590909,56.0,20.0,53.0,0.014125,0.038,10.0,32.0,3.2649350000000004,4.8,7.0,7.0,1.013949,2.05,21.5,18.0
3899,2000-11-04,29,6.0,14.0,30.782609000000004,53.0,19.0,50.0,0.017041999999999998,0.047,10.0,40.0,2.8854040000000003,6.15,7.5,10.0,0.9438405000000001,2.45,11.0,22.0
3911,2000-11-05,29,6.0,14.0,27.608696,44.0,19.0,42.0,0.017958000000000002,0.045,10.0,38.0,2.252174,3.6500000000000004,6.5,6.0,0.6993659999999999,1.45,10.0,15.0
3923,2000-11-06,29,6.0,14.0,27.217391,45.0,19.0,42.0,0.011333,0.03,9.0,25.0,2.5326085000000003,3.6500000000000004,8.0,6.0,0.8130435,1.5,21.0,14.0
3935,2000-11-07,29,6.0,14.0,25.304348,43.0,19.0,41.0,0.011,0.029,9.0,25.0,2.4608695000000003,4.5,7.5,7.0,0.8673010000000001,1.8000000000000003,3.5,16.0
3948,2000-11-08,29,6.0,14.0,29.565217,46.0,18.0,43.0,0.013541999999999998,0.035,10.0,30.0,2.8350929999999996,5.15,6.5,9.0,0.7881340000000001,1.75,22.5,15.0
3961,2000-11-09,29,6.0,14.0,21.608696,40.0,19.0,38.0,0.014083000000000004,0.034,9.0,29.0,2.0003105,2.8,1.0,4.0,0.5454545,1.3499999999999999,10.0,15.0
3974,2000-11-10,29,6.0,14.0,22.0,36.0,18.0,34.0,0.014708,0.032,10.0,27.0,1.8496895,4.5,6.5,9.0,0.5188404999999999,0.95,9.5,9.0
3987,2000-11-11,29,6.0,14.0,18.956522,37.0,19.0,35.0,0.014375,0.032,9.0,27.0,1.942857,4.0,6.5,7.0,0.4000905,1.0499999999999998,21.0,8.0
4000,2000-11-12,29,6.0,14.0,22.217391,41.0,19.0,39.0,0.015083,0.038,9.0,32.0,2.0003105,3.3,14.0,6.0,0.6725545,1.35,11.0,10.0
4013,2000-11-13,29,6.0,14.0,29.391304,45.0,17.0,42.0,0.011542,0.026,12.0,22.0,3.3096275,9.15,19.0,16.0,0.8427535,1.4,15.0,13.0
4026,2000-11-14,29,6.0,14.0,25.043478,42.0,0.0,40.0,0.011375,0.031,9.0,26.0,2.4322980000000003,4.5,6.5,7.0,0.91161,1.55,5.0,14.0
4039,2000-11-15,29,6.0,14.0,29.142857,41.0,7.0,39.0,0.008125,0.024,9.0,20.0,3.2595235,5.800000000000001,6.5,9.0,1.0595240000000001,1.9500000000000002,13.5,16.0
4052,2000-11-16,29,6.0,14.0,32.043478,47.0,8.0,44.0,0.00975,0.03,10.0,25.0,1.8019479999999999,4.8,1.5,7.0,1.0645835,1.9,10.5,18.0
4065,2000-11-17,29,6.0,14.0,28.956522,47.0,18.0,44.0,0.009792,0.027000000000000003,9.0,23.0,2.454037,5.300000000000001,6.5,10.0,1.2661229999999999,2.05,10.0,19.0
4078,2000-11-18,29,6.0,14.0,34.130435,55.0,19.0,52.0,0.009958,0.026,9.0,22.0,3.4701294999999996,5.5,13.0,9.0,1.447011,2.45,11.5,23.0
4103,2000-11-20,29,6.0,14.0,66.846154,89.0,19.0,88.0,0.0050420000000000005,0.012,9.0,10.0,5.6824675,8.5,19.5,13.0,1.6029765,4.55,20.5,40.0
4117,2000-11-21,29,6.0,14.0,57.652174,68.0,3.0,66.0,0.008708,0.022,10.0,19.0,3.4686335,6.5,6.5,11.0,1.6707425000000002,3.2,0.5,43.0
4131,2000-11-22,29,6.0,14.0,32.681818,58.0,0.0,55.0,0.009333,0.025,9.0,21.0,2.3242235,4.3,6.5,7.0,0.9951085,1.9,3.5,18.0
4145,2000-11-23,29,6.0,14.0,29.043478000000004,48.0,21.0,45.0,0.011083,0.03,10.0,25.0,3.081169,6.15,7.0,10.0,0.9805250000000001,1.7999999999999998,2.5,18.0
4159,2000-11-24,29,6.0,14.0,36.782609,65.0,20.0,63.0,0.012625,0.033,9.0,28.0,3.8733765,10.149999999999999,10.5,17.0,1.203895,2.25,22.0,20.0
4173,2000-11-25,29,6.0,14.0,36.608696,65.0,20.0,63.0,0.008417000000000001,0.023,9.0,19.0,3.1304350000000003,6.800000000000001,9.5,13.0,1.3291665,2.95,11.0,28.0
4187,2000-11-26,29,6.0,14.0,27.555556,36.0,19.0,34.0,0.002824,0.009000000000000001,13.0,8.0,2.2205265,5.300000000000001,6.5,11.0,0.751703,1.5499999999999998,11.5,22.0
4201,2000-11-27,29,6.0,14.0,30.411765000000006,36.0,9.0,34.0,0.002273,0.005,2.0,4.0,1.069298,2.6500000000000004,1.5,4.0,0.5493695,1.45,10.5,9.0
4215,2000-11-28,29,6.0,14.0,31.473684,40.0,17.0,38.0,0.003,0.01,7.0,8.0,0.41886,1.0,11.5,1.0,0.846154,1.1,6.0,11.0
4229,2000-11-29,29,6.0,14.0,21.545455,39.0,10.0,37.0,0.013833000000000002,0.032,8.0,27.0,1.371212,2.5,12.0,4.0,0.16,0.3,11.0,
4243,2000-11-30,29,6.0,14.0,25.782609,45.0,18.0,42.0,0.011083,0.027000000000000003,9.0,23.0,3.4462735,7.5,22.0,11.0,0.693466,1.85,21.5,13.0
4657,2001-01-01,29,6.0,14.0,36.521739,66.0,17.0,64.0,0.016625,0.041,10.0,35.0,1.8276395,4.0,10.0,7.0,1.528261,2.7,8.0,28.0
4670,2001-01-02,29,6.0,14.0,52.826087,76.0,20.0,74.0,0.012916999999999998,0.033,9.0,28.0,3.5900625,5.5,20.0,9.0,1.6275359999999999,3.25,21.5,28.0
4683,2001-01-03,29,6.0,14.0,50.043478,68.0,18.0,66.0,0.011042,0.028,9.0,24.0,2.9360245000000003,6.65,6.5,11.0,2.2281705,3.75,20.5,35.0
4696,2001-01-04,29,6.0,14.0,52.521739,82.0,17.0,81.0,0.011958,0.029,9.0,25.0,4.770497000000001,7.65,12.5,13.0,2.2511775,3.9000000000000004,11.5,39.0
4709,2001-01-05,29,6.0,14.0,56.0,79.0,17.0,78.0,0.008125,0.018000000000000002,9.0,15.0,4.640909,8.65,6.5,14.0,1.7903410000000002,3.45,1.5,39.0
4722,2001-01-06,29,6.0,14.0,50.086957,68.0,3.0,66.0,0.011792,0.026,11.0,22.0,2.6776395,7.0,6.5,11.0,1.7841485,3.45,4.5,32.0
4735,2001-01-07,29,6.0,14.0,45.043478,70.0,19.0,68.0,0.013833000000000002,0.031,9.0,26.0,2.8425465,5.300000000000001,14.0,10.0,1.391848,2.15,12.0,23.0
4748,2001-01-08,29,6.0,14.0,25.956522,52.0,0.0,49.0,0.017292,0.022,7.0,19.0,0.9360245,3.5,7.0,7.0,0.6872285,1.55,0.0,19.0
4761,2001-01-09,29,6.0,14.0,21.086957,42.0,19.0,40.0,0.013375,0.028,10.0,24.0,0.331677,2.15,13.0,4.0,0.680616,2.05,22.5,15.0
4774,2001-01-10,29,6.0,14.0,26.304348,38.0,3.0,36.0,0.015667,0.029,19.0,25.0,1.072671,4.3,6.5,9.0,0.759058,1.7,4.0,17.0
4787,2001-01-11,29,6.0,14.0,18.130435,38.0,8.0,36.0,0.025667,0.034,9.0,29.0,1.2599375,3.8,7.0,9.0,0.34692049999999997,0.8,8.0,7.0
4800,2001-01-12,29,6.0,14.0,22.521739,60.0,3.0,57.0,0.01625,0.027000000000000003,10.0,23.0,0.7596274999999999,12.8,5.5,36.0,0.4299815,1.9,5.0,9.0
4813,2001-01-13,29,6.0,14.0,25.73913,68.0,3.0,66.0,0.012375,0.029,10.0,25.0,1.06118,10.149999999999999,5.5,27.0,0.9100545,2.3499999999999996,6.0,16.0
4826,2001-01-14,29,6.0,14.0,21.086957,33.0,19.0,31.0,0.013833000000000002,0.023,10.0,19.0,0.41832299999999994,2.5,5.5,6.0,0.8259055,2.1,3.5,19.0
4839,2001-01-15,29,6.0,14.0,21.304348,42.0,21.0,40.0,0.014333000000000004,0.03,9.0,25.0,1.2164595,2.6500000000000004,13.0,4.0,0.464402,1.2,22.5,9.0
4852,2001-01-16,29,6.0,14.0,26.478261,40.0,0.0,38.0,0.011458,0.027000000000000003,10.0,23.0,1.727329,3.6500000000000004,3.5,7.0,0.6667574999999999,1.6,12.5,14.0
4864,2001-01-17,29,6.0,14.0,32.173913,49.0,20.0,46.0,0.009542,0.024,9.0,20.0,1.5546585000000004,4.5,6.5,9.0,1.238315,2.3,2.0,22.0
4877,2001-01-18,29,6.0,14.0,38.956522,59.0,21.0,56.0,0.008333,0.02,10.0,17.0,2.1807455,6.15,6.5,10.0,1.359511,2.75,7.5,24.0
4890,2001-01-19,29,6.0,14.0,41.090909,76.0,3.0,74.0,0.008583,0.019,9.0,16.0,2.275155,7.65,6.5,14.0,1.152841,3.0999999999999996,3.0,24.0
4903,2001-01-20,29,6.0,14.0,34.0,73.0,3.0,71.0,0.01125,0.025,9.0,21.0,2.48323,7.5,6.5,14.0,0.9884964999999999,2.75,3.0,18.0
4915,2001-01-21,29,6.0,14.0,28.130435,37.0,0.0,35.0,0.008208,0.019,9.0,16.0,2.288509,5.0,6.5,10.0,0.7440215,1.5,3.5,14.0
4927,2001-01-22,29,6.0,14.0,33.956522,65.0,20.0,63.0,0.012958,0.034,10.0,29.0,2.137578,4.5,11.5,9.0,0.9999095,2.35,21.5,20.0
4940,2001-01-23,29,6.0,14.0,40.956522,63.0,19.0,61.0,0.012417,0.026,9.0,22.0,2.2161495,5.5,7.5,9.0,1.375725,2.55,4.0,23.0
4953,2001-01-24,29,6.0,14.0,19.0,40.0,6.0,38.0,0.020417,0.036000000000000004,9.0,31.0,1.253106,5.0,2.5,11.0,0.5880434999999999,1.4500000000000002,1.5,18.0
4966,2001-01-25,29,6.0,14.0,30.217391,52.0,18.0,49.0,0.013625,0.027000000000000003,9.0,23.0,0.5975155,2.15,12.5,4.0,0.8766305000000001,1.65,5.0,16.0
4978,2001-01-26,29,6.0,14.0,24.045455,71.0,3.0,69.0,0.021125,0.036000000000000004,11.0,31.0,0.9900625,13.149999999999999,5.5,36.0,0.629076,2.4,6.0,14.0
4990,2001-01-27,29,6.0,14.0,20.869565,75.0,3.0,73.0,0.016166999999999997,0.031,9.0,26.0,1.9618015,16.0,13.0,43.0,0.7247285,2.5,13.0,14.0
5002,2001-01-28,29,6.0,14.0,27.478261,49.0,20.0,46.0,0.014958,0.036000000000000004,10.0,31.0,2.02205,3.8,6.5,7.0,1.083062,2.5,2.0,23.0
5014,2001-01-29,29,6.0,14.0,26.173913,47.0,8.0,44.0,0.01325,0.03,11.0,25.0,2.022671,6.300000000000001,6.5,11.0,0.8576085,2.05,4.5,19.0
5026,2001-01-30,29,6.0,14.0,24.217391,38.0,22.0,36.0,0.012,0.026,10.0,22.0,1.7059004999999998,5.15,6.5,9.0,0.6887685,1.7999999999999998,7.5,15.0
